module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
BMad Method,_meta,,,,,,,,,false,https://docs.bmad-method.org/,
BMad Method,bmad-prd,Create Edit and Review PRD,PRD,"Create a new PRD through guided discovery, update an existing one when plans change, or validate a finished PRD against a checklist with an HTML findings report.",,,2-planning,,,true,planning_artifacts,prd
BMad Method,bmad-ux,Create UX,CU,Capture UX decisions into design and experience documents. Strongly recommended when a UI is a major part of the project.,,,2-planning,bmad-prd,,false,planning_artifacts,ux design
BMad Method,bmad-spec,Spec,SPC,"Condense any input (brief, PRD, transcript, brain dump, design folder, or several sources at once) into a short SPEC.md plus supporting files that later work builds from. Pins down what to build before deciding how. Works for software, game design, research, editorial, policy, business — anything with an intent behind it. Can also validate an existing spec.",,[path],anytime,,,false,{output_folder}/specs/spec-{slug},SPEC.md + companion files
BMad Method,bmad-correct-course,Correct Course,CC,"Assess a significant change to the plan. May recommend starting over, updating the PRD, or redoing architecture.",,,anytime,,,false,planning_artifacts,change proposal
BMad Method,bmad-architecture,Architecture,CA,"Offer once requirements exist (a PRD or spec, plus UX if present) and the user is ready to decide how to build. Also offer any time separately built parts risk becoming inconsistent. Records the architecture decisions that keep features consistent.",,,plan,,,true,planning_artifacts,architecture
BMad Method,bmad-build,Build,BD,"The standard implementation flow: clarify intent, plan, implement, review, and present.",,,ship,,bmad-code-review,true,implementation_artifacts,spec and project implementation
BMad Method,bmad-code-review,Code Review,CR,Ad hoc review of any code change. An optional extra check after Build's built-in review.,,,ship,bmad-build,,false,,
Core,_meta,,,,,,,,,false,https://docs.bmad-method.org/,
Core,bmad-brainstorming,Brainstorming,BSP,Use early in ideation or when stuck generating ideas.,,,anytime,,,false,{output_folder}/brainstorming,brainstorming session
Core,bmad-party-mode,Party Mode,PM,Orchestrate multi-agent discussions when you need multiple perspectives or want agents to collaborate.,,,anytime,,,false,,
Core,bmad-help,BMad Help,BH,,,,anytime,,,false,,
Core,bmad-customize,BMad Customize,BC,"Use when you want to change how an agent or workflow behaves — add persistent facts, swap templates, insert activation hooks, or customize menus. Scans what's customizable, picks the right scope (agent vs workflow), writes the override to _bmad/custom/, and verifies the merge. No TOML hand-authoring required.",,,anytime,,,false,{project-root}/_bmad/custom,TOML override files
Core,bmad-advanced-elicitation,Advanced Elicitation,AE,"Use at any checkpoint to push a just-produced draft, section, or plan past its first version — pick from a menu of elicitation methods (pre-mortem, first principles, red team, socratic) and apply the improvements.",,,anytime,,,false,,
Core,bmad-review,Review,RV,"Review anything before it ships: a diff, branch, or uncommitted changes; a PRD, spec, story, or architecture document; any prose. Applies whichever installed review methods (lenses) fit the content — shipped ones cover adversarial critique, edge cases, verification gaps, document structure, and prose editing — or exactly the ones you name. Code Review in other modules calls it automatically.",,[path],anytime,,,false,,findings JSON array + markdown report
Core,bmad-forge-idea,Forge Idea,FI,"Test an idea — software, business, creative, research, or personal — through probing questions from different personas until you can act on it or drop it with confidence. Can hand the result to bmad-spec or bmad-build.",,,anytime,,,false,{output_folder}/forge,refined-idea brief (optional)
Core,bmad-deep-recon,Deep Recon,RS,"Research a topic to support a decision: draft a research prompt for your own AI tool and turn the returned report into a summary with cited sources, or run the research directly here with web searches. Types: market, domain, technical, competitive, user-voice, academic-lit, plus choosing between candidates; custom types via overrides.",,[type],anytime,,,false,{planning_artifacts}/research,research report/summary + optional html briefing
